,Timestamp,Bounty,Researcher
104,3/31/2014 3:31:03,1000,gazly
106,4/1/2014 5:34:37,1000,prakharprasad
99,4/4/2014 0:43:43,1000,javidhussain21
101,4/8/2014 0:33:26,1000,dawidczagan
110,4/8/2014 0:36:59,100,redkan
176,4/15/2014 22:40:31,1000,sbuss
152,4/18/2014 23:07:17,100,donrookie
142,4/22/2014 17:59:28,1000,libnex
121,4/24/2014 22:09:15,100,iampr3m
172,4/25/2014 23:15:20,1000,uname
169,4/25/2014 23:16:36,200,marcinbury
113,4/27/2014 18:50:55,200,introvertmac
179,4/28/2014 23:55:46,100,ryancollins
144,4/29/2014 1:07:36,1000,anshuman_bh
123,5/1/2014 0:35:27,100,iampr3m
103,5/1/2014 23:26:53,1000,gazly
116,5/1/2014 23:28:06,100,marktest
119,5/1/2014 23:28:39,1000,mathias
124,5/1/2014 23:29:14,1000,iampr3m
115,5/1/2014 23:41:05,100,dawidczagan
114,5/1/2014 23:43:55,100,pimvanrooij
112,5/1/2014 23:45:49,1000,redkan
126,5/1/2014 23:47:40,2000,neal
60,5/7/2014 1:10:45,2000,max
55,5/7/2014 4:56:42,100,0ctac0der
161,5/7/2014 4:57:41,1000,uname
107,5/7/2014 5:56:43,200,uname
48,5/9/2014 4:06:51,1000,michiel
165,5/9/2014 4:48:23,1000,dawidczagan
164,5/9/2014 17:34:28,100,dawidczagan
132,5/9/2014 17:37:39,2000,romainbutteaud
102,5/9/2014 17:39:57,100,0ctac0der
140,5/9/2014 17:40:45,1000,deepankerchawla
37,5/11/2014 8:49:53,1000,run
188,5/15/2014 7:18:57,100,xm3ch1o
76,5/19/2014 23:02:28,1000,muhammadwaqar9
70,5/21/2014 0:46:24,100,max
170,5/21/2014 0:47:36,100,pbssubhash
71,5/21/2014 0:47:59,1000,uname
59,6/3/2014 21:35:38,100,gazly
138,6/4/2014 5:18:30,1000,fjserna
109,6/5/2014 17:59:07,100,uname
45,6/13/2014 18:45:48,100,iampr3m
73,6/13/2014 18:46:28,100,dawidczagan
192,6/24/2014 16:53:16,1000,romainbutteaud
49,6/25/2014 23:32:22,100,anshuman_bh
32,6/25/2014 23:33:01,100,deepankerchawla
77,7/9/2014 2:00:21,100,warlock37
46,7/9/2014 20:11:26,1000,sampaniagua
50,7/19/2014 23:33:28,1000,xolr
137,7/23/2014 18:30:55,2000,max
91,7/23/2014 18:39:02,1000,sasi2103
39,7/23/2014 18:40:38,100,two06
63,8/4/2014 17:48:56,100,mrrm
61,8/4/2014 18:06:24,500,mrrm
96,8/4/2014 18:11:11,1000,max
168,8/13/2014 18:05:49,100,deepankerchawla
147,8/26/2014 22:27:43,1000,andytoshi
72,8/26/2014 22:31:58,1000,mohaab007
62,9/3/2014 18:21:48,100,mrrm
111,9/8/2014 17:09:05,1000,prakharprasad
14,9/11/2014 19:04:43,1000,max
20,9/12/2014 21:31:31,100,bmcdanel
58,9/15/2014 17:40:43,100,prayas
33,9/16/2014 1:35:16,1000,mrrm
118,9/16/2014 1:51:44,100,tunnelshade
177,9/16/2014 1:52:36,1000,anshuman_bh
35,9/16/2014 2:07:15,1000,romainbutteaud
146,9/18/2014 18:40:21,100,mrrm
1,9/18/2014 19:03:17,1000,emily
94,9/30/2014 19:12:53,1000,alden
86,10/1/2014 19:03:07,100,evanricafort0x001
89,10/5/2014 3:06:20,1000,mrrm
81,10/6/2014 17:40:37,100,mohammed_fayez
93,10/13/2014 19:20:54,100,momenbasel
149,10/13/2014 19:28:56,1000,uname
98,10/14/2014 5:10:30,100,none
38,10/16/2014 22:11:43,1000,psaux
156,10/17/2014 19:15:09,100,solomania9
141,10/22/2014 1:46:43,100,amanz17
136,10/24/2014 18:13:48,100,muhammadwaqar9
178,10/24/2014 21:40:58,100,gnqrvyemftn
175,10/27/2014 1:14:16,100,pum
190,10/28/2014 4:00:12,100,asuresh960
189,10/31/2014 23:17:25,100,siddiki
163,11/3/2014 18:33:20,100,deet
131,11/4/2014 20:44:41,100,geekboy
108,11/5/2014 22:12:10,100,max
153,11/5/2014 22:37:38,100,mohaab007
64,11/5/2014 22:58:09,100,mrrm
53,11/6/2014 0:58:22,1000,kaleemgiet
0,11/10/2014 1:10:25,100,letshunt
9,11/10/2014 1:50:28,100,siddiki
19,11/11/2014 4:13:27,100,esevece
40,11/11/2014 4:14:07,1000,yoyohoneysingh
52,11/15/2014 16:46:19,1000,max
185,11/18/2014 22:07:59,100,scorppy
68,11/20/2014 1:49:11,1000,max
47,11/20/2014 1:49:32,1000,max
41,11/22/2014 1:37:38,100,geekboy
87,12/3/2014 19:06:45,100,shahmeer-amir
78,12/3/2014 19:07:53,100,lovepakistan
80,12/9/2014 17:47:44,1000,max
171,12/16/2014 2:15:31,5000,max
127,1/3/2015 14:59:56,100,pranav_hivarekar
133,1/3/2015 16:43:46,100,mohdhaji87
11,1/3/2015 16:47:13,100,batman
24,1/3/2015 17:24:00,200,srkgupta
28,1/4/2015 20:54:57,100,khaled_hassan
13,1/5/2015 16:11:12,100,codegonetro
30,1/7/2015 20:49:47,1000,sergeym
122,1/8/2015 16:02:10,100,pranav_hivarekar
17,1/9/2015 18:00:51,100,srkgupta
21,1/23/2015 21:30:36,100,zeeshi7897
92,2/10/2015 17:32:28,100,whitj00
162,2/11/2015 18:53:12,5000,agarri_fr
84,2/18/2015 2:30:38,100,austinmabry
167,2/18/2015 15:22:17,1000,heytherejake
85,2/18/2015 15:24:10,100,kaleemgiet
151,2/18/2015 17:31:15,100,mrrm
157,2/19/2015 5:20:43,100,theo
3,3/3/2015 21:08:02,100,ex-hacker
29,3/10/2015 18:22:13,100,dor1s
174,3/11/2015 14:44:52,100,prashanth
90,3/30/2015 2:38:55,500,mrrm
74,3/30/2015 16:58:16,100,khaled_hassan
128,4/3/2015 19:55:09,1000,homakov
173,4/16/2015 0:38:04,1000,codernaut
143,4/29/2015 16:50:51,1000,mhluongo
145,5/5/2015 1:33:27,1000,netfuzzer
134,5/13/2015 21:58:46,1000,dor1s
8,5/14/2015 19:23:59,100,kaleemgiet
97,5/21/2015 19:51:20,1000,dor1s
139,5/24/2015 21:35:41,100,e_all
155,5/26/2015 17:46:51,100,deepankerchawla
184,6/1/2015 21:24:17,5000,datokaa
6,6/6/2015 4:29:09,5000,paulos_
135,6/8/2015 17:44:40,100,hazimaslam
31,6/17/2015 17:50:40,100,an0_pritz
34,6/17/2015 17:51:50,100,an0_pritz
166,6/17/2015 17:58:55,100,kalpesh_makwana
129,6/17/2015 17:59:51,101,paulos_
16,6/19/2015 20:20:45,100,hazimaslam
25,6/20/2015 15:15:28,100,kaleemgiet
125,6/22/2015 20:17:18,500,srobin
95,6/25/2015 19:09:17,100,zeeshi7897
183,7/15/2015 19:12:59,100,pyrk2142
10,7/27/2015 20:40:32,100,kaleemgiet
23,7/27/2015 20:40:43,100,kaleemgiet
88,7/28/2015 22:47:55,100,hazimaslam
181,8/14/2015 18:20:07,100,codegonetro
15,8/18/2015 23:34:41,100,sehgal
180,8/19/2015 19:11:55,100,dawidczagan
12,8/19/2015 19:12:31,100,apo143u
79,8/24/2015 23:31:30,100,agarri_fr
7,8/24/2015 23:37:34,1000,ehl78
44,8/25/2015 18:43:18,2000,hammad
67,8/28/2015 23:34:22,200,shahmeer-amir
69,9/2/2015 20:00:37,100,codegonetro
100,9/3/2015 17:24:32,1000,pen3t3r
82,9/4/2015 16:35:21,100,hackingtown
43,9/16/2015 18:52:37,500,paulos_
4,9/28/2015 18:48:54,100,paulos_
130,9/28/2015 21:47:19,100,paresh_parmar
26,9/28/2015 21:48:01,100,kaleemgiet
2,9/30/2015 18:36:58,100,paulos_
5,10/3/2015 18:08:02,100,naveensihag
18,10/7/2015 12:12:55,1000,acid_creative
54,10/14/2015 8:11:20,100,brain
75,10/15/2015 8:14:19,100,paulos_
186,10/16/2015 3:20:37,100,codegonetro
83,10/18/2015 17:53:07,100,temmyscript
65,10/23/2015 3:47:46,100,paulos_
42,10/30/2015 0:19:59,100,paulos_
57,11/10/2015 10:20:09,1000,deepankerchawla
187,11/17/2015 6:55:53,500,temmyscript
182,12/2/2015 14:29:42,200,pyrk2142
51,12/4/2015 10:58:15,5000,hazimaslam
117,12/10/2015 8:53:47,100,zombiehelp54
105,12/11/2015 6:06:28,100,brdoors2
36,12/11/2015 6:51:21,500,shahmeer-amir
154,12/21/2015 9:04:53,200,sick-sec
159,12/21/2015 12:47:38,100,shahmeer-amir
158,12/22/2015 2:51:05,100,netfuzzer
27,1/9/2016 5:44:08,100,yasir
160,1/9/2016 6:01:33,100,josephjose96
191,1/9/2016 6:55:18,100,cablej
22,1/20/2016 22:07:45,200,netfuzzer
56,1/21/2016 23:27:54,100,pyrk2142
150,1/26/2016 19:03:25,200,yasir
148,1/26/2016 19:18:46,1000,hackeroxo1
66,1/27/2016 21:59:57,200,roshanpty
120,1/29/2016 1:08:28,100,josephjose96
