,Timestamp,Bounty,Researcher
100,2/28/2014 19:48:27,100,wcypierre
101,2/28/2014 20:39:03,500,omarkurt
98,2/28/2014 20:49:22,500,wcypierre
97,2/28/2014 20:49:49,500,wcypierre
96,2/28/2014 20:50:59,200,wcypierre
95,2/28/2014 20:51:20,500,wcypierre
104,2/28/2014 21:00:27,500,wcypierre
109,3/1/2014 0:57:18,150,shahmeer-amir
102,3/1/2014 1:15:42,500,introvertmac
107,3/1/2014 1:59:20,100,wcypierre
108,3/1/2014 1:59:47,100,cliffordtrigo
105,3/1/2014 2:00:13,200,shahmeer-amir
111,3/1/2014 2:40:06,100,wcypierre
113,3/1/2014 6:54:53,200,uname
134,3/2/2014 1:40:10,500,prakharprasad
129,3/2/2014 2:10:14,500,prakharprasad
116,3/2/2014 2:22:58,200,wcypierre
127,3/2/2014 2:23:39,200,prakharprasad
128,3/2/2014 2:44:45,200,anand786
118,3/2/2014 4:09:14,250,fransrosen
142,3/2/2014 6:02:42,150,uname
143,3/2/2014 7:59:42,100,ethicalhacker
144,3/2/2014 8:19:00,100,kamalmits1218
131,3/2/2014 17:37:41,100,prakharprasad
121,3/2/2014 17:51:30,500,fransrosen
148,3/2/2014 21:48:04,500,wcypierre
140,3/3/2014 6:57:52,250,rafaybaloch
145,3/3/2014 7:03:33,700,uname
133,3/3/2014 7:04:46,200,xcker
137,3/3/2014 7:05:49,100,rafaybaloch
138,3/3/2014 7:06:15,100,rafaybaloch
139,3/3/2014 7:07:06,500,rafaybaloch
150,3/3/2014 18:22:45,500,niks
161,3/3/2014 22:30:03,500,fransrosen
103,3/3/2014 22:45:32,500,wcypierre
120,3/3/2014 22:47:47,100,uname
163,3/4/2014 0:03:53,500,prakharprasad
162,3/4/2014 0:05:12,500,fransrosen
155,3/4/2014 1:43:47,100,deepankerchawla
168,3/4/2014 18:05:29,500,fransrosen
164,3/4/2014 18:16:04,250,deepankerchawla
147,3/4/2014 18:38:17,200,rafaybaloch
135,3/4/2014 20:52:12,100,rafaybaloch
170,3/5/2014 0:35:18,200,prakharprasad
169,3/5/2014 0:35:52,200,fransrosen
173,3/5/2014 21:23:27,300,kubabrecka
123,3/5/2014 22:24:52,200,gazly
115,3/6/2014 2:20:17,100,xcker
159,3/6/2014 2:21:04,100,gopinath6
124,3/7/2014 5:59:06,100,narendrabhati
154,3/7/2014 6:55:14,500,mathias
189,3/8/2014 22:08:20,100,donrookie
132,3/9/2014 3:08:43,500,prakharprasad
149,3/9/2014 3:11:00,200,rafaybaloch
191,3/9/2014 3:12:30,100,uname
119,3/9/2014 3:14:34,500,fransrosen
187,3/9/2014 23:18:23,500,kubabrecka
