,Timestamp,Bounty,Researcher
200,8/7/2014 23:38:05,250,emily
199,8/7/2014 23:38:49,500,emily
185,8/7/2014 23:39:22,500,cliffordtrigo
207,8/7/2014 23:41:41,1000,avlidienbrunn
197,8/7/2014 23:47:28,500,k0reph1l
191,8/8/2014 0:05:37,500,gazly
204,8/8/2014 1:38:07,1000,fransrosen
203,8/8/2014 15:51:06,1500,fransrosen
206,8/12/2014 21:34:19,1500,marcinbury
230,8/12/2014 21:36:41,3000,fransrosen
208,8/12/2014 23:12:03,250,asdjsonyou
235,8/12/2014 23:17:05,250,soiax
257,8/15/2014 0:37:23,250,psaux
193,8/15/2014 3:40:21,500,tdthechamp
205,8/15/2014 21:41:00,250,fransrosen
186,8/19/2014 23:45:31,250,cliffordtrigo
188,8/19/2014 23:53:56,250,ankitbharathan
189,8/19/2014 23:56:19,250,deepankerchawla
194,8/20/2014 0:00:25,250,gazly
195,8/20/2014 0:02:40,250,nnwakelam
202,8/20/2014 0:08:52,500,fransrosen
201,8/20/2014 0:11:10,250,yasir
210,8/20/2014 0:36:40,250,sergeym
211,8/20/2014 0:40:22,250,sergeym
196,8/20/2014 2:46:18,500,adrianbelen
252,8/20/2014 17:10:30,250,hackapp
253,8/20/2014 17:11:35,1500,mlitchfield
258,8/20/2014 17:13:16,1000,esevece
4,8/20/2014 17:54:12,2000,stephensclafani
228,8/21/2014 16:14:03,3000,fransrosen
216,8/21/2014 19:07:28,500,avlidienbrunn
217,8/21/2014 19:07:38,500,avlidienbrunn
220,8/21/2014 19:07:46,500,avlidienbrunn
222,8/21/2014 19:09:10,1500,avlidienbrunn
215,8/25/2014 17:06:54,500,fransrosen
219,8/25/2014 17:18:16,500,fransrosen
190,8/26/2014 18:33:44,250,deepankerchawla
212,8/26/2014 19:04:54,1500,bastianwelfrid
213,8/26/2014 19:08:29,500,prakharprasad
240,8/26/2014 23:11:01,1500,onemore
241,8/26/2014 23:12:00,500,vergil901
221,8/26/2014 23:50:22,500,fransrosen
223,8/27/2014 0:40:15,250,mrrm
224,8/27/2014 0:44:46,500,fransrosen
225,8/27/2014 0:47:03,500,avlidienbrunn
226,8/27/2014 0:50:12,500,fransrosen
229,8/27/2014 0:53:11,500,avlidienbrunn
198,8/29/2014 16:50:22,250,cliffordtrigo
209,8/29/2014 16:53:45,250,yassineaboukir
232,8/29/2014 17:10:31,250,iceplasm
192,8/29/2014 17:39:08,250,pwndizzle
14,8/29/2014 20:58:35,250,cliffordtrigo
13,8/29/2014 21:01:27,500,cliffordtrigo
254,8/29/2014 21:59:28,500,tomvg
256,8/29/2014 22:02:32,250,zamous
259,8/29/2014 22:26:16,250,gazly
260,8/29/2014 23:11:58,250,gazly
54,9/4/2014 17:35:04,1500,k0reph1l
59,9/5/2014 20:47:37,500,k0reph1l
24,9/5/2014 21:18:43,500,avlidienbrunn
76,9/5/2014 21:22:29,2500,mlitchfield
71,9/5/2014 21:24:13,1500,mlitchfield
72,9/5/2014 21:26:17,2500,mlitchfield
214,9/10/2014 21:38:21,250,gazly
218,9/10/2014 21:39:12,250,gazly
234,9/10/2014 21:41:10,500,batram
35,9/10/2014 21:42:49,500,psaux
244,9/10/2014 21:45:06,250,sasi2103
250,9/10/2014 21:46:25,250,cliffordtrigo
64,9/10/2014 21:48:06,2000,avlidienbrunn
57,9/10/2014 21:50:23,1500,jaredp
61,9/10/2014 21:52:24,250,mikkz
60,9/10/2014 21:53:33,250,mikkz
23,9/10/2014 21:54:47,250,avlidienbrunn
75,9/10/2014 21:58:37,1500,mlitchfield
94,9/10/2014 21:59:48,1000,avlidienbrunn
38,9/18/2014 21:11:22,250,lccunha
15,9/18/2014 21:15:09,250,cliffordtrigo
249,9/18/2014 21:16:35,250,xpn
70,9/18/2014 21:23:07,250,robin
95,9/18/2014 21:29:24,250,dhaval
262,9/18/2014 21:33:19,500,marcinbury
98,9/18/2014 21:35:48,1500,mlitchfield
67,9/18/2014 21:36:28,250,letshunt
16,9/18/2014 21:38:16,500,cliffordtrigo
25,9/18/2014 21:40:30,500,avlidienbrunn
26,9/18/2014 21:43:16,500,avlidienbrunn
27,9/18/2014 21:44:38,500,avlidienbrunn
42,9/18/2014 21:46:15,500,cliffordtrigo
87,9/18/2014 21:47:31,750,cliffordtrigo
101,9/18/2014 21:54:34,3000,mlitchfield
11,9/18/2014 21:57:22,250,cliffordtrigo
31,9/18/2014 21:59:56,250,fransrosen
5,9/29/2014 19:43:33,1000,onemore
12,9/29/2014 19:56:52,250,cliffordtrigo
17,9/29/2014 20:06:31,500,cliffordtrigo
20,9/29/2014 20:13:46,250,k0reph1l
106,10/2/2014 21:14:43,250,santese
74,10/2/2014 21:16:41,250,hysteria
30,10/2/2014 21:18:23,250,avlidienbrunn
18,10/2/2014 21:19:30,250,cliffordtrigo
114,10/2/2014 21:23:28,500,avlidienbrunn
86,10/2/2014 21:27:32,500,sergeym
89,10/2/2014 21:28:12,500,cliffordtrigo
116,10/2/2014 21:34:08,1000,adrianbelen
102,10/3/2014 17:14:19,2000,adrianbelen
246,10/3/2014 17:14:37,250,shahmeer-amir
73,10/7/2014 20:33:57,350,psaux
124,10/7/2014 20:34:12,350,mlitchfield
56,10/7/2014 20:40:13,250,jaredp
37,10/8/2014 18:51:44,500,psaux
117,10/10/2014 16:44:56,250,k0reph1l
21,10/10/2014 21:26:41,250,psaux
46,10/10/2014 21:33:41,250,cliffordtrigo
50,10/10/2014 21:39:24,500,cliffordtrigo
111,10/13/2014 18:06:48,250,cliffordtrigo
69,10/13/2014 18:47:28,250,psaux
81,10/14/2014 23:18:01,400,skoat
88,10/14/2014 23:34:16,250,asdjsonyou
55,10/14/2014 23:51:26,250,k0reph1l
41,10/15/2014 0:32:55,250,cliffordtrigo
123,10/15/2014 0:38:41,750,mlitchfield
122,10/15/2014 0:39:08,1500,mlitchfield
78,10/15/2014 0:40:29,500,mlitchfield
118,10/17/2014 0:20:56,500,adrianbelen
113,10/17/2014 0:22:09,750,espresso
105,10/17/2014 0:23:20,250,gazly
91,10/17/2014 0:25:33,750,cliffordtrigo
62,10/17/2014 0:27:05,350,mikkz
129,10/24/2014 19:05:34,350,mikkz
53,10/24/2014 19:07:40,500,k0reph1l
43,10/24/2014 19:10:28,750,cliffordtrigo
96,10/24/2014 19:11:44,400,4lemon
175,10/24/2014 19:12:38,2000,secgeek
133,10/24/2014 19:14:09,400,antserf
138,10/24/2014 19:16:11,500,antserf
39,10/28/2014 17:20:01,350,prakharprasad
82,10/28/2014 17:25:40,400,sergeym
49,10/28/2014 18:02:58,500,cliffordtrigo
169,10/30/2014 15:43:07,250,turbanatorsjs
36,10/30/2014 17:00:24,400,psaux
164,11/4/2014 0:28:36,500,psaux
162,11/4/2014 20:25:09,500,anshuman_bh
151,11/5/2014 18:15:36,500,adrianbelen
93,11/5/2014 18:22:47,400,cliffordtrigo
22,11/5/2014 18:28:04,500,fransrosen
150,11/5/2014 19:01:30,400,adrianbelen
187,11/6/2014 18:58:11,1000,mlitchfield
52,11/7/2014 21:15:32,350,asdjsonyou
63,11/10/2014 23:10:35,250,hammadshamsi
158,11/11/2014 17:58:02,250,cliffordtrigo
112,11/11/2014 18:13:52,250,cliffordtrigo
137,11/11/2014 19:09:37,400,deepankerchawla
163,11/11/2014 19:25:44,500,adrianbelen
159,11/11/2014 19:27:43,100,karezma
51,11/11/2014 21:29:05,100,cliffordtrigo
92,11/11/2014 21:30:42,100,cliffordtrigo
173,11/12/2014 23:25:08,350,cliffordtrigo
170,11/13/2014 21:04:30,250,geekboy
174,11/17/2014 19:11:10,250,whitesec121
233,11/18/2014 17:30:10,400,shahmeer-amir
110,11/21/2014 17:17:05,1000,raverly
128,11/21/2014 17:28:48,750,iceplasm
0,11/24/2014 17:50:20,750,mlitchfield
248,12/3/2014 2:39:11,1000,geekboy
119,12/3/2014 2:41:14,400,adrianbelen
48,12/3/2014 22:48:03,500,psaux
7,12/3/2014 23:13:12,400,psaux
44,12/8/2014 23:20:14,250,netfuzzer
45,12/8/2014 23:21:48,250,netfuzzer
156,12/9/2014 19:53:58,400,rahul762
141,12/12/2014 22:17:48,400,protector_47
161,12/15/2014 17:10:10,1000,srkgupta
261,12/16/2014 17:27:50,250,hysteria
160,12/16/2014 23:20:15,250,mohammed_fayez
166,12/16/2014 23:55:56,300,psaux
33,1/5/2015 18:20:46,400,mohaab007
90,1/5/2015 18:44:49,250,cliffordtrigo
165,1/5/2015 18:59:54,250,anshuman_bh
66,1/6/2015 20:10:43,250,letshunt
171,1/16/2015 21:14:07,250,whitesec121
127,1/16/2015 21:17:45,500,hysteria
134,1/20/2015 21:23:40,750,pranav_hivarekar
145,1/20/2015 21:25:55,250,aaj__
143,1/20/2015 21:28:33,250,niyaax
176,1/20/2015 21:30:27,250,cliffordtrigo
47,1/20/2015 23:55:37,250,zamous
157,1/20/2015 23:59:41,250,geekboy
80,1/21/2015 0:01:13,250,aaj__
9,1/23/2015 4:12:34,750,zamous
135,1/26/2015 22:54:26,2000,fransrosen
121,1/29/2015 19:36:16,250,k0reph1l
120,1/29/2015 19:43:01,250,mikkz
154,1/29/2015 19:57:07,250,hammadshamsi
177,2/2/2015 17:44:27,400,pranav_hivarekar
77,2/19/2015 18:11:00,350,lccunha
126,2/24/2015 22:26:01,250,fransrosen
79,2/24/2015 22:27:02,250,cryptopeg
65,3/9/2015 20:39:42,300,hysteria
264,3/13/2015 1:14:50,750,hammad
144,3/13/2015 1:24:05,300,haiderm
236,3/17/2015 22:04:07,400,andrusha
142,3/17/2015 22:14:45,300,stoun
152,3/17/2015 22:17:54,300,mohaab007
109,3/17/2015 22:20:30,300,bughuntergr
263,3/17/2015 22:37:39,300,c37hun
245,3/17/2015 22:41:44,400,geekboy
139,3/19/2015 23:55:42,500,mlitchfield
181,3/25/2015 22:34:18,500,jmoore15
231,3/27/2015 20:46:11,250,shahmeer-amir
168,3/30/2015 20:47:01,300,sergeym
58,3/30/2015 21:21:51,300,deepankerchawla
8,4/13/2015 21:19:23,300,bobrov
247,4/14/2015 20:16:55,300,hotkarl
136,4/14/2015 22:49:17,300,ipentest
265,4/16/2015 20:52:07,350,lccunha
239,4/21/2015 22:17:12,350,atom
6,4/23/2015 20:00:01,400,pranav_hivarekar
107,4/30/2015 16:53:18,500,psaux
40,5/4/2015 18:38:10,350,cdump
131,5/6/2015 21:30:57,300,ng1
182,5/6/2015 21:38:59,400,kyprizel
84,5/12/2015 17:41:43,500,uname
28,5/13/2015 15:40:02,400,apo143u
147,5/20/2015 19:03:39,400,danielchatfield
132,5/27/2015 15:46:18,400,shahmeer-amir
85,5/28/2015 16:29:25,500,uname
227,5/29/2015 0:01:02,1000,moonstar
238,6/2/2015 19:28:15,300,dor1s
2,7/4/2015 7:23:35,100,sappi
3,7/4/2015 7:27:52,100,sappi
251,7/13/2015 17:21:27,750,blacksdawn
178,7/17/2015 18:28:23,450,blacksdawn
34,7/24/2015 20:28:34,1000,andreapalazzo
149,8/12/2015 1:12:45,500,hassham
155,8/12/2015 1:14:02,300,ru94mb
130,9/4/2015 16:53:18,300,raghav_bisht
183,9/16/2015 18:43:07,300,bastianwelfrid
167,9/21/2015 22:28:54,500,marhvhelous
179,9/30/2015 18:25:01,500,fransrosen
115,10/9/2015 20:39:26,750,harisec
108,10/20/2015 16:18:25,300,bastianwelfrid
153,10/23/2015 21:45:11,750,karthic
10,10/28/2015 18:00:10,150,brdoors2
99,11/9/2015 20:57:53,300,vokacristal
180,11/17/2015 0:28:10,500,rmashhoon
125,11/20/2015 21:59:49,500,ananthapadmaraman
32,11/26/2015 0:02:43,300,linkks
242,12/1/2015 20:04:04,300,bastianwelfrid
19,12/3/2015 0:08:26,500,kyprizel
68,12/15/2015 19:24:07,500,elamaran619
184,12/16/2015 1:28:42,2000,bburky
83,12/16/2015 21:53:10,300,ananthapadmaraman
243,12/18/2015 20:57:22,750,harisec
29,1/8/2016 0:34:38,500,balvinder
148,1/8/2016 0:36:43,500,ananthapadmaraman
237,1/13/2016 0:57:20,2000,bburky
172,1/14/2016 18:25:48,300,drosera
103,1/14/2016 18:26:14,300,apo143u
255,1/16/2016 0:12:03,500,zombiehelp54
97,1/21/2016 19:31:13,500,phobusenko
146,1/21/2016 19:31:41,300,linkks
1,1/26/2016 21:51:46,300,vakzz
100,2/10/2016 22:06:56,300,hmart
140,2/11/2016 19:58:41,300,dimopouloselias
104,2/11/2016 23:22:43,500,faridmovsumov
