,Timestamp,Bounty,Researcher
117,9/8/2014 15:11:41,700,sergeym
113,9/8/2014 15:18:11,140,internetwache
114,9/8/2014 15:18:53,140,gazly
115,9/8/2014 15:19:19,140,durga
122,9/8/2014 15:19:43,140,nnwakelam
172,9/12/2014 21:22:42,1400,letshunt
166,9/12/2014 21:23:31,140,arbitrarycode
165,9/12/2014 21:24:04,140,shahmeer-amir
142,9/12/2014 21:24:40,420,yassineaboukir
154,9/12/2014 21:25:29,140,letshunt
156,9/12/2014 21:26:12,1400,arbitrarycode
149,9/12/2014 21:26:42,140,huzaifa_jawaid
155,9/12/2014 21:27:09,140,simon90
134,9/12/2014 21:27:49,140,surgent10cross
145,9/12/2014 21:29:44,2800,secgeek
137,9/12/2014 21:30:08,140,joserabal
130,9/12/2014 21:30:30,420,soufian
179,9/19/2014 22:47:06,140,fin1te
187,9/19/2014 22:48:34,700,sergeym
188,9/19/2014 22:49:06,1400,anand786
183,9/19/2014 22:49:36,280,jaredp
186,9/19/2014 22:50:26,140,emily
190,9/19/2014 22:51:01,140,dawidczagan
199,9/19/2014 22:51:27,140,abdulraheem30042
182,9/19/2014 22:51:54,140,atom
212,9/29/2014 16:28:33,140,abdulraheem30042
222,9/29/2014 16:28:56,140,secgeek
239,10/4/2014 3:39:11,140,mohaab007
236,10/4/2014 3:40:17,420,raafat
233,10/4/2014 3:40:53,420,ayoub__fathi
230,10/4/2014 3:41:35,1120,batram
234,10/4/2014 3:42:06,1120,batram
205,10/4/2014 3:42:35,420,gepeto42
295,10/14/2014 20:18:42,420,mindaugas
275,10/14/2014 20:20:58,140,pranav_hivarekar
341,10/20/2014 22:45:29,140,huzaifa_jawaid
329,10/20/2014 22:46:06,140,c37hun
331,10/20/2014 22:47:04,140,letshunt
327,10/20/2014 22:47:29,140,ashwarya_me
326,10/20/2014 22:48:34,280,deepankerchawla
321,10/20/2014 22:49:21,420,pranav_hivarekar
302,10/20/2014 22:50:05,560,anshuman_bh
317,10/20/2014 22:50:37,280,anand786
308,10/20/2014 22:51:13,420,anshuman_bh
296,10/20/2014 22:51:45,140,anand786
247,10/20/2014 22:52:19,280,ericlaw
216,10/20/2014 22:54:36,140,jyoti
356,10/24/2014 20:23:21,1120,user_0x3a_pass
353,10/24/2014 20:23:41,280,atom
358,11/3/2014 16:41:01,140,gone
22,11/3/2014 16:41:33,1400,avram
17,11/3/2014 16:42:03,140,dushyantsahu
355,11/3/2014 16:42:32,140,shahmeer-amir
4,11/3/2014 16:43:19,1680,fransrosen
71,11/11/2014 19:44:15,140,anand786
75,11/11/2014 19:44:37,420,cqoicebordel
70,11/11/2014 19:45:03,560,psaux
61,11/11/2014 19:45:31,420,secgeek
39,11/11/2014 19:45:55,140,anand786
40,11/11/2014 19:46:21,420,pranav_hivarekar
7,11/11/2014 19:46:55,140,siddiki
131,11/14/2014 21:13:14,420,jigarthakkar39
129,11/14/2014 21:13:45,280,anand786
126,11/14/2014 21:14:16,140,ashwarya_me
121,11/14/2014 21:14:42,420,tmpfs
99,11/14/2014 21:15:08,280,adeelimtiaz90
60,11/14/2014 21:15:49,140,prakharprasad
215,11/23/2014 22:10:09,1400,xorb
200,11/23/2014 22:10:44,1400,batram
125,11/23/2014 22:11:10,140,wesecureapp
177,11/23/2014 22:11:37,140,apo143u
174,11/23/2014 22:11:59,140,hammad
181,12/1/2014 21:11:53,140,hammad
228,12/5/2014 22:37:07,1400,anand786
255,12/5/2014 22:37:34,140,ashwarya_me
240,12/5/2014 22:38:00,420,masatokinugawa
